"id";"reviewtype_id";"category_id";"position";"title";"text"
"12";"2";"8";"1";"Result Oriented";"Completed the assigned engagement deliverables as outlined in the deliverables section."
"13";"2";"8";"2";"Adaptable";"Readily accepted changing priorities, was open to new ideas and/or approaches, was willing to take on new responsibilities and proactively adjusted plans to meet changing needs."
"14";"2";"9";"1";"Customer Focused";"Was committed to meeting or exceeding customer satisfaction by; accurately scoping work and ensuring agreed to commitments were met (provided quality work in a timely, cost effective manner). "
"15";"2";"9";"2";"Team Player";"Worked collaboratively, willingly shared information and expertise, and put customer and team needs ahead of oneself."
"16";"2";"10";"1";"Opportunistic";"Proactively identified and solved customer problems, understood and considered the broader, big picture impact of decisions."
